state,regime,sigma_us,erg_prob,Epi_us_gross_m,Epi_us_harm_gross_m,Epi_eu_gross_m,Epi_eu_harm_gross_m,Epi_us_ann_pct,Epi_eu_ann_pct
1,1,0.104580366173633,5.51245934790968e-08,0.998704363759549,0.998646258989331,1.00001017902334,1.00001017675187,-1.54373195467365,0.0122155118724709
2,1,0.109870923627908,1.26751045193685e-07,0.998703492907737,0.99864615995717,1.00001009451204,1.00001009229673,-1.54476217436312,0.0121140870094738
3,1,0.115429122124197,2.3929626017672e-07,0.998702247424282,0.998646043902745,1.00000999522739,1.00000999309427,-1.54623556697124,0.011994932263848
4,1,0.121268501204976,4.43805601437194e-07,0.998700887819374,0.998645920566203,1.00000988939554,1.00000988735009,-1.54784394087092,0.0118679201513316
5,1,0.127403285357036,8.11165688871071e-07,0.998699460588479,0.998645791041885,1.00000977789438,1.00000977593785,-1.54953228847599,0.0117341042852104
6,1,0.133848418661748,1.45966837562793e-06,0.998697970855942,0.998645655092033,1.00000966046695,1.0000096585998,-1.55129454430117,0.0115931763044141
7,1,0.14061960119823,2.58512686858043e-06,0.998696417095652,0.998645512229196,1.00000953663767,1.00000953486012,-1.55313250994868,0.0114445654760376
8,1,0.147733327288089,4.50539100967933e-06,0.998694796778945,0.998645361874455,1.00000940584465,1.00000940415676,-1.55504917264646,0.0112875975000426
9,1,0.155206925674913,7.72668877159173e-06,0.998693107360136,0.998645203375246,1.00000926745308,1.00000926585474,-1.55704753937141,0.0111215105559115
10,1,0.163058601736375,1.30399985272693e-05,0.998691346541168,0.998645035999719,1.00000912074861,1.00000911923955,-1.55913032379182,0.0109454473895099
11,1,0.171307481831781,2.16577084054844e-05,0.998689512450011,0.998644858925696,1.00000896492584,1.00000896350561,-1.56129973525868,0.0107584414661188
12,1,0.179973659893094,3.54026148535869e-05,0.998687603848008,0.998644671226872,1.00000879907399,1.00000879774188,-1.56355723358956,0.0105593998011466
13,1,0.189078246372927,5.69626168686874e-05,0.998685620400131,0.998644471856291,1.00000862215969,1.00000862091478,-1.56590320948845,0.0103470823011653
14,1,0.198643419668731,9.02247950727815e-05,0.998683563033664,0.998644259626646,1.00000843300651,1.00000843184763,-1.56833656041971,0.0101200771843946
15,1,0.208692480148459,0.000140701380836228,0.998681434416015,0.998644033186688,1.00000823027027,1.00000822919594,-1.57085412567406,0.00987677140300569
16,1,0.219249906909304,0.00021605686940783,0.998679239593061,0.998643790992856,1.00000801240926,1.00000801141772,-1.57344993166368,0.00961531482976952
17,1,0.230341417407767,0.000326739764087612,0.998676986845207,0.998643531274973,1.00000777764809,1.00000777673729,-1.57611417987958,0.00933357696750736
18,1,0.241994030106325,0.00048671392247855,0.998674688841369,0.998643251994565,1.0000075239337,1.00000752310126,-1.57883188269592,0.00902909406974572
19,1,0.254236130289292,0.000714273242639536,0.998672364182096,0.998642950793991,1.0000072488813,1.00000724812455,-1.5815810392069,0.008699004374213
20,1,0.267097539208196,0.00103290963428012,0.998670039815146,0.998642624932707,1.00000694970663,1.00000694902258,-1.58432977963605,0.00833996672731097
21,1,0.280609586725128,0.00147218764203256,0.998667748058301,0.998642271226723,1.00000662315999,1.00000662254547,-1.5870398872423,0.00794808150763604
22,1,0.294805187630987,0.00206855806695785,0.99867899648299,0.998655439176907,1.00000626516296,1.00000626461462,-1.57373745285271,0.00751845462367839
23,1,0.309718921824558,0.00286601282567096,0.998753548775708,0.998732148336639,1.00000587405639,1.00000587357069,-1.48552992540624,0.00704909539650522
24,1,0.325387118547719,0.00391643497767514,0.998839022752366,0.998819959181886,1.00000546733844,1.00000546691128,-1.38431110405326,0.00656100341951404
25,1,0.341847944881979,0.0052794178629361,0.998928506091453,0.998911743665416,1.00000505401355,1.00000505364009,-1.27824223441526,0.00606498484339024
26,1,0.359141498721913,0.00702120213253992,0.999019576224673,0.999004959629174,1.00000463881257,1.00000463848753,-1.1701850946823,0.00556671710465473
27,1,0.377309906451982,0.00921220719274825,0.999110947957344,0.999098265167096,1.00000422441403,1.00000422413184,-1.06166115079108,0.00506941462168342
28,1,0.396397425564669,0.011922443619379,0.999201823715996,0.999190837839756,1.00000381247178,1.00000381222679,-0.953617944370411,0.0045750620663032
29,1,0.416450552469909,0.0152139692499947,0.999291667879246,0.999282133365667,1.00000340408935,1.00000340387591,-0.846694904143552,0.00408498370525479
30,1,0.437518135758424,0.0191296441890121,0.999380104709543,0.999371775994855,1.00000300004901,1.00000299986152,-0.74134339867693,0.00360011821278761
31,1,0.459651495194877,0.0236779437305695,0.999466864299085,0.99945950068372,1.00000260092941,1.0000026007624,-0.637890228616456,0.00312115994276496
32,1,0.482904546730709,0.0288146657530043,0.99955175082621,0.99954511935363,1.00000220717054,1.00000220701863,-0.536574867668849,0.00264863680441429
33,1,0.507333933841167,0.0344240191948037,0.999634622504593,0.999628499704935,1.00000181911214,1.0000018189701,-0.437572962012356,0.00218295640495025
