# Hand-digitized from Federal Reserve FEDS Note (Feb 2020),
# "The Liquidity Coverage Ratio and Corporate Liquidity Management".
# Series = HQLA / total assets (percent), by bank group. NOT the LCR ratio itself.
# Groups: Standard_LCR / Modified_LCR / Non_LCR banks. Quarterly, 2003Q1-2018Q3.
# Values read off the figure by eye; accuracy ~ +/-0.5 percentage points.
Date,Standard_LCR,Modified_LCR,Non_LCR
2003-Q1,6.2,3.3,1.0
2003-Q2,5.0,3.0,1.0
2003-Q3,4.7,2.7,0.9
2003-Q4,4.3,2.5,0.9
2004-Q1,4.0,2.3,1.0
2004-Q2,3.8,2.1,0.9
2004-Q3,3.3,1.9,0.9
2004-Q4,3.0,1.8,0.9
2005-Q1,3.2,1.7,1.0
2005-Q2,3.0,1.6,0.9
2005-Q3,2.9,1.6,0.9
2005-Q4,2.8,1.5,0.8
2006-Q1,2.7,1.5,0.9
2006-Q2,2.6,1.4,0.9
2006-Q3,2.6,1.4,0.9
2006-Q4,2.5,1.3,0.8
2007-Q1,2.4,1.3,0.9
2007-Q2,2.3,1.2,0.9
2007-Q3,2.3,1.2,1.0
2007-Q4,2.2,1.2,1.2
2008-Q1,2.2,1.3,1.3
2008-Q2,2.3,1.5,1.5
2008-Q3,3.0,2.5,2.0
2008-Q4,8.8,4.5,4.3
2009-Q1,8.5,5.0,5.0
2009-Q2,9.5,5.5,6.0
2009-Q3,10.5,6.0,7.0
2009-Q4,11.8,6.2,8.0
2010-Q1,11.2,6.0,8.5
2010-Q2,11.0,6.3,9.0
2010-Q3,11.5,6.5,10.0
2010-Q4,12.0,6.5,11.0
2011-Q1,11.8,6.5,11.0
2011-Q2,12.0,6.7,11.5
2011-Q3,11.8,6.5,11.0
2011-Q4,12.3,6.3,10.0
2012-Q1,12.5,6.5,9.0
2012-Q2,12.3,6.0,8.0
2012-Q3,13.0,5.5,7.8
2012-Q4,14.5,6.0,8.0
2013-Q1,15.5,6.5,8.5
2013-Q2,16.5,6.0,8.5
2013-Q3,17.5,6.8,8.0
2013-Q4,18.5,9.0,8.0
2014-Q1,20.0,9.5,8.0
2014-Q2,21.5,9.0,8.2
2014-Q3,22.5,8.5,8.5
2014-Q4,20.5,10.5,9.0
2015-Q1,19.8,11.5,9.2
2015-Q2,20.0,12.5,9.0
2015-Q3,19.8,12.5,8.0
2015-Q4,20.0,11.5,7.0
2016-Q1,19.5,10.5,6.5
2016-Q2,20.5,9.5,7.0
2016-Q3,20.2,10.0,6.8
2016-Q4,19.8,11.0,6.5
2017-Q1,19.5,11.5,6.5
2017-Q2,19.7,12.0,6.8
2017-Q3,19.3,12.5,6.5
2017-Q4,18.8,12.5,6.2
2018-Q1,18.5,12.0,6.0
2018-Q2,19.0,12.5,6.2
2018-Q3,18.5,11.8,6.0
