# Monthly interpolation of hqla_assets_fedsnote.csv (HQLA/assets, %, by bank group).
# Quarterly anchors placed at quarter-END month (Mar/Jun/Sep/Dec); linear interpolation.
# Source figure: Fed FEDS Note (Feb 2020). Hand-digitized + interpolated => approximate.
Date,Standard_LCR,Modified_LCR,Non_LCR
2003-03,6.2,3.3,1.0
2003-04,5.8,3.2,1.0
2003-05,5.4,3.1,1.0
2003-06,5.0,3.0,1.0
2003-07,4.9,2.9,0.967
2003-08,4.8,2.8,0.933
2003-09,4.7,2.7,0.9
2003-10,4.567,2.633,0.9
2003-11,4.433,2.567,0.9
2003-12,4.3,2.5,0.9
2004-01,4.2,2.433,0.933
2004-02,4.1,2.367,0.967
2004-03,4.0,2.3,1.0
2004-04,3.933,2.233,0.967
2004-05,3.867,2.167,0.933
2004-06,3.8,2.1,0.9
2004-07,3.633,2.033,0.9
2004-08,3.467,1.967,0.9
2004-09,3.3,1.9,0.9
2004-10,3.2,1.867,0.9
2004-11,3.1,1.833,0.9
2004-12,3.0,1.8,0.9
2005-01,3.067,1.767,0.933
2005-02,3.133,1.733,0.967
2005-03,3.2,1.7,1.0
2005-04,3.133,1.667,0.967
2005-05,3.067,1.633,0.933
2005-06,3.0,1.6,0.9
2005-07,2.967,1.6,0.9
2005-08,2.933,1.6,0.9
2005-09,2.9,1.6,0.9
2005-10,2.867,1.567,0.867
2005-11,2.833,1.533,0.833
2005-12,2.8,1.5,0.8
2006-01,2.767,1.5,0.833
2006-02,2.733,1.5,0.867
2006-03,2.7,1.5,0.9
2006-04,2.667,1.467,0.9
2006-05,2.633,1.433,0.9
2006-06,2.6,1.4,0.9
2006-07,2.6,1.4,0.9
2006-08,2.6,1.4,0.9
2006-09,2.6,1.4,0.9
2006-10,2.567,1.367,0.867
2006-11,2.533,1.333,0.833
2006-12,2.5,1.3,0.8
2007-01,2.467,1.3,0.833
2007-02,2.433,1.3,0.867
2007-03,2.4,1.3,0.9
2007-04,2.367,1.267,0.9
2007-05,2.333,1.233,0.9
2007-06,2.3,1.2,0.9
2007-07,2.3,1.2,0.933
2007-08,2.3,1.2,0.967
2007-09,2.3,1.2,1.0
2007-10,2.267,1.2,1.067
2007-11,2.233,1.2,1.133
2007-12,2.2,1.2,1.2
2008-01,2.2,1.233,1.233
2008-02,2.2,1.267,1.267
2008-03,2.2,1.3,1.3
2008-04,2.233,1.367,1.367
2008-05,2.267,1.433,1.433
2008-06,2.3,1.5,1.5
2008-07,2.533,1.833,1.667
2008-08,2.767,2.167,1.833
2008-09,3.0,2.5,2.0
2008-10,4.933,3.167,2.767
2008-11,6.867,3.833,3.533
2008-12,8.8,4.5,4.3
2009-01,8.7,4.667,4.533
2009-02,8.6,4.833,4.767
2009-03,8.5,5.0,5.0
2009-04,8.833,5.167,5.333
2009-05,9.167,5.333,5.667
2009-06,9.5,5.5,6.0
2009-07,9.833,5.667,6.333
2009-08,10.167,5.833,6.667
2009-09,10.5,6.0,7.0
2009-10,10.933,6.067,7.333
2009-11,11.367,6.133,7.667
2009-12,11.8,6.2,8.0
2010-01,11.6,6.133,8.167
2010-02,11.4,6.067,8.333
2010-03,11.2,6.0,8.5
2010-04,11.133,6.1,8.667
2010-05,11.067,6.2,8.833
2010-06,11.0,6.3,9.0
2010-07,11.167,6.367,9.333
2010-08,11.333,6.433,9.667
2010-09,11.5,6.5,10.0
2010-10,11.667,6.5,10.333
2010-11,11.833,6.5,10.667
2010-12,12.0,6.5,11.0
2011-01,11.933,6.5,11.0
2011-02,11.867,6.5,11.0
2011-03,11.8,6.5,11.0
2011-04,11.867,6.567,11.167
2011-05,11.933,6.633,11.333
2011-06,12.0,6.7,11.5
2011-07,11.933,6.633,11.333
2011-08,11.867,6.567,11.167
2011-09,11.8,6.5,11.0
2011-10,11.967,6.433,10.667
2011-11,12.133,6.367,10.333
2011-12,12.3,6.3,10.0
2012-01,12.367,6.367,9.667
2012-02,12.433,6.433,9.333
2012-03,12.5,6.5,9.0
2012-04,12.433,6.333,8.667
2012-05,12.367,6.167,8.333
2012-06,12.3,6.0,8.0
2012-07,12.533,5.833,7.933
2012-08,12.767,5.667,7.867
2012-09,13.0,5.5,7.8
2012-10,13.5,5.667,7.867
2012-11,14.0,5.833,7.933
2012-12,14.5,6.0,8.0
2013-01,14.833,6.167,8.167
2013-02,15.167,6.333,8.333
2013-03,15.5,6.5,8.5
2013-04,15.833,6.333,8.5
2013-05,16.167,6.167,8.5
2013-06,16.5,6.0,8.5
2013-07,16.833,6.267,8.333
2013-08,17.167,6.533,8.167
2013-09,17.5,6.8,8.0
2013-10,17.833,7.533,8.0
2013-11,18.167,8.267,8.0
2013-12,18.5,9.0,8.0
