# hqla_assets_fedsnote_monthly_pchip.csv extended to project grid 2001-01..2025-12.
# Backward to 2001-01 held flat at the 2003-03 value; forward to 2025-12 held flat at the 2018-09 value.
# Padded regions carry NO information beyond the endpoint level (digitized + interpolated => approximate).
Date,Standard_LCR,Modified_LCR,Non_LCR
2001-01,6.2,3.3,1.0
2001-02,6.2,3.3,1.0
2001-03,6.2,3.3,1.0
2001-04,6.2,3.3,1.0
2001-05,6.2,3.3,1.0
2001-06,6.2,3.3,1.0
2001-07,6.2,3.3,1.0
2001-08,6.2,3.3,1.0
2001-09,6.2,3.3,1.0
2001-10,6.2,3.3,1.0
2001-11,6.2,3.3,1.0
2001-12,6.2,3.3,1.0
2002-01,6.2,3.3,1.0
2002-02,6.2,3.3,1.0
2002-03,6.2,3.3,1.0
2002-04,6.2,3.3,1.0
2002-05,6.2,3.3,1.0
2002-06,6.2,3.3,1.0
2002-07,6.2,3.3,1.0
2002-08,6.2,3.3,1.0
2002-09,6.2,3.3,1.0
2002-10,6.2,3.3,1.0
2002-11,6.2,3.3,1.0
2002-12,6.2,3.3,1.0
2003-01,6.2,3.3,1.0
2003-02,6.2,3.3,1.0
2003-03,6.2,3.3,1.0
2003-04,5.68,3.2,1.0
2003-05,5.26,3.1,1.0
2003-06,5.0,3.0,1.0
2003-07,4.877,2.896,0.974
2003-08,4.793,2.791,0.926
2003-09,4.7,2.7,0.9
2003-10,4.571,2.627,0.9
2003-11,4.429,2.564,0.9
2003-12,4.3,2.5,0.9
2004-01,4.189,2.433,0.926
2004-02,4.088,2.367,0.974
2004-03,4.0,2.3,1.0
2004-04,3.934,2.233,0.974
2004-05,3.876,2.167,0.926
2004-06,3.8,2.1,0.9
2004-07,3.656,2.028,0.9
2004-08,3.464,1.957,0.9
2004-09,3.3,1.9,0.9
2004-10,3.167,1.862,0.9
2004-11,3.05,1.831,0.9
2004-12,3.0,1.8,0.9
2005-01,3.052,1.767,0.926
2005-02,3.148,1.733,0.974
2005-03,3.2,1.7,1.0
2005-04,3.158,1.659,0.974
2005-05,3.072,1.619,0.926
2005-06,3.0,1.6,0.9
2005-07,2.962,1.6,0.9
2005-08,2.931,1.6,0.9
2005-09,2.9,1.6,0.9
2005-10,2.867,1.574,0.874
2005-11,2.833,1.526,0.826
2005-12,2.8,1.5,0.8
2006-01,2.767,1.5,0.826
2006-02,2.733,1.5,0.874
2006-03,2.7,1.5,0.9
2006-04,2.659,1.474,0.9
2006-05,2.619,1.426,0.9
2006-06,2.6,1.4,0.9
2006-07,2.6,1.4,0.9
2006-08,2.6,1.4,0.9
2006-09,2.6,1.4,0.9
2006-10,2.581,1.374,0.874
2006-11,2.541,1.326,0.826
2006-12,2.5,1.3,0.8
2007-01,2.467,1.3,0.826
2007-02,2.433,1.3,0.874
2007-03,2.4,1.3,0.9
2007-04,2.359,1.274,0.9
2007-05,2.319,1.226,0.9
2007-06,2.3,1.2,0.9
