month,dayoftrade,ecbdepositfacilityrate,ecbmainrefinancingrate,ecbeoniarate,interestonexcessreserves,interestonrequiredreserves,interestonreservebalances,federalfundstargetrangeupperlimi,federalfundstargetrangelowerlimi,federalfundstargetrate,domesticprivatecredit,effectivefederalfundsraate,dw_rate,reserve_rate,ffr_deviation,ecb_eoniatarget,eonia_deviation,e,f,cip,germany_us,f_ret
2000m1,16-Jan-00,2,4,3.0428572,,,,,,5.5,,,6.5,0,,3,0.042857125,0.98741293,0.98517215,0.90932518,-1.8529999,-2.762325
2000m2,15-Feb-00,2.224138,4.2241378,3.2757144,,,,,,5.7413793,,,6.7413793,0,,3.224138,0.06142858,1.0153897,1.013315,0.40311274,-2.0825,-2.4856126
2000m3,16-Mar-00,2.3709676,4.3709679,3.5104346,,,,,,5.8387098,,,6.8387098,0,,3.3709676,0.14086953,1.0366383,1.0344428,0.36325929,-2.213913,-2.5771723
2000m4,15-Apr-00,2.5250001,4.5250001,3.6849999,,,,,,6,,,7,0,,3.5250001,0.17111108,1.0582566,1.0561373,0.75535023,-1.6805001,-2.4358504
2000m5,16-May-00,2.75,4.75,3.9200001,,,,,,6.2580647,,,7.2580647,0,,3.75,0.17000003,1.1011416,1.0989056,0.88096911,-1.5891303,-2.4700994
2000m6,15-Jun-00,3.1166666,5.1166668,4.2945457,,,,,,6.5,,,7.5,0,,4.1166668,0.18090907,1.0528544,1.0508182,0.89144814,-1.4618181,-2.3532662
2000m7,16-Jul-00,3.25,5.25,4.3085713,,,,,,6.5,,6.5184999,7.5,0,0.018500019,4.25,0.058571428,1.0644031,1.0623677,0.91144335,-1.4152383,-2.3266816
2000m8,16-Aug-00,3.25,5.25,4.4191303,,,,,,6.5,,6.5026088,7.5,0,0.002608735,4.25,0.16913038,1.1058831,1.1039817,0.53525007,-1.5573915,-2.0926416
2000m9,15-Sep-00,3.5,5.5,4.590476,,,,,,6.5,,6.5145001,7.5,0,0.014500022,4.5,0.090476148,1.1485292,1.1466796,0.54977155,-1.4095237,-1.9592953
2000m10,16-Oct-00,3.7096775,5.7096772,4.7627273,,,,,,6.5,,6.5219049,7.5,0,0.021904809,4.7096772,0.058181807,1.1718836,1.170145,0.28226474,-1.5236363,-1.8059011
2000m11,15-Nov-00,3.75,5.75,4.8290911,,,,,,6.5,,6.5233335,7.5,0,0.023333345,4.75,0.079090945,1.1690475,1.1673871,0.071652517,-1.6563638,-1.7280164
2000m12,16-Dec-00,3.75,5.75,4.8268423,,,,,,6.5,,6.4514999,7.5,0,-0.048500039,4.75,0.076842129,1.1094384,1.1077696,0.13948572,-1.687,-1.8301256
2001m1,16-Jan-01,3.75,5.75,4.755909,,,,,,6.016129,,6.0228572,7.016129,0,0.02285712,4.75,0.005909161,1.0657349,1.0648013,-0.053243659,-1.0895456,-1.0673386
2001m2,14-Feb-01,3.75,5.75,4.9924998,,,,,,5.5,,5.5084209,6.5,0,0.008421095,4.75,0.24250002,1.0858256,1.085234,-0.14394401,-0.80700022,-0.66305619
2001m3,16-Mar-01,3.75,5.75,4.7813635,,,,,,5.3064518,,5.3214288,6.3064518,0,0.011904808,4.75,0.031363662,1.1007649,1.1004411,-0.22669135,-0.58545452,-0.35876316
2001m4,15-Apr-01,3.75,5.75,5.0642104,,,,,,4.7833333,,4.8138094,5.7833333,0,0.028095268,4.75,0.3142105,1.1193802,1.1193953,-0.038577706,-0.015999949,0.016607087
2001m5,16-May-01,3.5806451,5.5806451,4.6536365,,,,,,4.2258062,,4.2318182,5.2258062,0,0.004545418,4.5806451,0.074090935,1.1439823,1.1445159,-0.29014209,0.27761903,0.56776112
2001m6,15-Jun-01,3.5,5.5,4.5395241,,,,,,3.9666667,,3.9514287,4.9666667,0,-0.012857096,4.5,0.039523896,1.1714103,1.1720539,-0.33419314,0.33476198,0.66895515
2001m7,16-Jul-01,3.5,5.5,4.5054545,,,,,,3.75,,3.7809525,4.75,0,0.030952374,4.5,0.005454584,1.1608678,1.1616085,-0.52232629,0.25409082,0.77641714
2001m8,16-Aug-01,3.4919355,5.4919353,4.4913044,,,,,,3.6612904,,3.6569564,4.6612902,0,0.004782614,4.4919353,0.002173984,1.1084545,1.1092583,-0.74990582,0.13217382,0.88207966
