t,sigma_us,p_scr,cip_model_bps,FX_model
1,0.102903348917328,0.00219613436825992,-139.014811188297,0.967104330520426
2,0.104571667087697,0.00219613436825992,-139.01518113783,0.967558857628887
3,0.11067091556562,0.000347966803412977,-139.01643270682,0.969169342244372
4,0.108223002251174,0.000407543862387864,-139.015911722942,0.968493260731767
5,0.110432398519935,0.000243550553905849,-139.016378974985,0.969098862010297
6,0.109651773373592,0.000306000374744381,-139.016213991844,0.968885060022988
7,0.105533989669262,0.000600871099877304,-139.015343046654,0.967756158356375
8,0.112377469481383,0.000334953066549447,-139.016796698126,0.969641888557093
9,0.107736151626075,0.000689194118060454,-139.015815510174,0.968370244397457
10,0.117739810258648,0.000658852341794351,-139.017923287858,0.971163482324478
11,0.124473445003869,0.000367463614980047,-139.01929846648,0.973064215787739
12,0.126331378919721,0.000297190643056215,-139.019669211169,0.973600480273531
13,0.127477460252829,0.000307250947324817,-139.019895772371,0.973937587719211
14,0.129794769681157,0.000302623405270697,-139.020353268054,0.974618257396734
15,0.133627540547157,0.000316077280080222,-139.021110443579,0.975744840213793
16,0.140683626373741,0.000412546682126824,-134.812677341337,0.977875879528823
17,0.143038329854459,0.000345709905641295,-132.212249056725,0.978599146617134
18,0.157686854753505,0.00158529743096074,-113.854369602041,0.983079898422108
19,0.157472551692392,0.000468963735900944,-114.142107231911,0.982982446507445
20,0.168797130322876,0.000794556057308265,-98.8387484471822,0.986275012740738
21,0.177687146373343,0.000616700266038007,-87.0920638243315,0.988747606877934
22,0.172922497712051,0.000638372711235918,-93.3872853899858,0.987420388789758
23,0.181882853840369,0.000618252781487007,-81.8773498335503,0.989846072734035
24,0.181276302779423,0.000481137542551158,-82.6107405327774,0.989688190756453
25,0.176702058548628,0.000616703043937608,-88.3935688655922,0.988473088264975
26,0.191705666153147,0.00139216718244291,-69.9916271523041,0.992366068327416
27,0.187336946051012,0.000665249250158067,-75.2758463839541,0.991236896361434
28,0.194372978869451,0.000557082013190907,-66.7587024826564,0.993027335325924
29,0.207944615892081,0.00105840325795815,-51.8813796775612,0.996199599622971
30,0.219106691434369,0.000846513833510406,-40.4257625290907,0.998652055377213
31,0.216070781439467,0.000592500621685755,-43.3370820384888,0.998016671792331
32,0.213960220655544,0.0005536569121783,-45.3615429882157,0.997577233568367
33,0.22370070403023,0.000715000725721132,-36.0182924421859,0.999604767946164
34,0.218775670798012,0.000646202124204848,-40.7425418722826,0.998579879206751
35,0.226731699024303,0.000643774148814837,-33.1104571260439,1.00023369512668
36,0.225075765714678,0.000558682193004343,-34.6986638151536,0.999888126953571
37,0.220459213837169,0.000624323246893415,-39.1274670309498,0.998929482013533
38,0.231698403598648,0.000821606490408353,-28.3465596766079,1.00126874670411
39,0.231201419194258,0.000560929154081196,-28.8224655678954,1.00116161868015
40,0.231537694270207,0.000540376100888615,-28.4998177820662,1.00123122558357
41,0.235684444146994,0.00055900879570851,-24.7367303224704,1.00205481595046
42,0.256578088303085,0.00246232619230227,-7.27157277890856,1.00595439120716
43,0.255473450165957,0.000688217287143798,-8.10251415222913,1.00574635176781
44,0.25181275153257,0.000612575893921802,-11.1795095924939,1.00506293521612
45,0.253221040826338,0.0005659063506127,-9.99559771302462,1.00532500841903
46,0.253760099659655,0.000563536259230678,-9.54246268316599,1.00542550174999
47,0.249305484583709,0.000621209978806709,-13.2871288570435,1.00459551885129
48,0.245774719759266,0.000604009120178089,-16.2550297943488,1.00393694497882
49,0.261302486524846,0.00121790880958913,-3.81217612599495,1.0067284503029
50,0.255121907477097,0.000713499090819839,-8.39807818366952,1.00568108175974
51,0.236815799307344,0.00228886896178288,-23.7909221155757,1.00228962513102
52,0.243854381109014,0.000746770204152204,-17.8696469535814,1.00358067683431
53,0.249129619973958,0.000607697823742605,-13.4349258742235,1.00456256608904
54,0.24323595183224,0.000666750888404902,-18.3892788332902,1.00346435119643
55,0.241812873409548,0.000571349576206138,-19.5852472964019,1.00319776764615
56,0.233629830081179,0.00077743932181459,-26.4936224468899,1.00166955098991
57,0.25648426087133,0.00345964303311487,-7.34245515779909,1.0059494743449
58,0.249161405795925,0.000932509843461151,-13.4090251931721,1.00457234557452
59,0.231716824138355,0.00221415492226052,-28.3333775088326,1.00129292619127
60,0.25389672340356,0.00362993464047085,-9.4347697478882,1.00548508822839
61,0.229579880095054,0.00898998174776481,-30.4059772599186,1.00095082595075
62,0.22595292690444,0.00113324791049195,-33.8592278804768,1.00007945069352
63,0.224111064302966,0.000589814259594806,-35.6241921348875,0.99968807175199
64,0.22896727336759,0.000562336765913316,-30.9656377951104,1.00069718546226
65,0.225534880693962,0.000590379663084719,-34.2583561076307,0.999984069328983
66,0.260160042339117,0.0415744542499073,-4.73342110041725,1.00695055856086
67,0.248032665880029,0.00559238830987796,-14.3698011111875,1.00441801893974
68,0.220366796523837,0.0263148906234787,-39.3124586578797,0.999336290808741
69,0.249965195762422,0.0540895374268317,-12.8655898497973,1.00534601547616
70,0.233195304068568,0.013182955874476,-26.9495926361114,1.00175734877909
71,0.21918356043374,0.00360479693443397,-40.3625175305469,0.998714337795616
72,0.238638731008941,0.00293599799860589,-22.2603523683354,1.00263779848132
73,0.225276276030659,0.00167514095279369,-34.5102509160998,0.999947374193153
74,0.210452474468039,0.00211107853059715,-49.165335709727,0.996797582661882
75,0.209796763289769,0.000608462044910475,-49.8702723431237,0.996618630940732
76,0.209229184115854,0.000522936614213989,-50.4855952800974,0.996486031071023
77,0.219820748742055,0.000760604344406237,-39.7404490874822,0.998799031952641
78,0.257966043746678,0.118151474413117,-6.50903801434298,1.00740336734019
79,0.223433892418987,0.552802019187933,-38.2659416266829,1.00841073355549
80,0.366898968011625,1,57.2653717092782,1.01917745134448
81,0.333237729727281,0.808786579495781,40.9774723157385,1.01829241731612
82,0.242885293147978,0.999999999317701,-21.4494464056494,1.01622790696043
83,0.333873126020654,0.999999999842744,41.2968803314972,1.01854001095379
84,0.375287054509239,0.952290313517794,60.7211139109461,1.01945611521076
85,0.190656740812771,1,-76.5274382942419,1.01434721285412
86,0.226295127379911,0.995579765570017,-36.9864638819567,1.01561868205908
87,0.294740270896221,0.99999970431263,18.0868239516609,1.01765580785583
